t, xpos, ypos
0.840000,1.887553,-0.372395
0.841000,1.888861,-0.370541
0.842000,1.890162,-0.368675
0.843000,1.891457,-0.366798
0.844000,1.892745,-0.364909
0.845000,1.894027,-0.363009
0.846000,1.895303,-0.361099
0.847000,1.896571,-0.359177
0.848000,1.897833,-0.357244
0.849000,1.899089,-0.355300
0.850000,1.900338,-0.353346
0.851000,1.901580,-0.351381
0.852000,1.902815,-0.349405
0.853000,1.904044,-0.347419
0.854000,1.905266,-0.345422
0.855000,1.906481,-0.343415
0.856000,1.907690,-0.341397
0.857000,1.908891,-0.339370
0.858000,1.910086,-0.337332
0.859000,1.911274,-0.335284
0.860000,1.912455,-0.333227
0.861000,1.913630,-0.331159
0.862000,1.914797,-0.329082
0.863000,1.915957,-0.326995
0.864000,1.917111,-0.324898
0.865000,1.918258,-0.322792
0.866000,1.919397,-0.320677
0.867000,1.920530,-0.318552
0.868000,1.921655,-0.316418
0.869000,1.922774,-0.314275
0.870000,1.923885,-0.312122
0.871000,1.924990,-0.309961
0.872000,1.926087,-0.307791
0.873000,1.927177,-0.305613
0.874000,1.928260,-0.303425
0.875000,1.929336,-0.301229
0.876000,1.930404,-0.299025
0.877000,1.931466,-0.296812
0.878000,1.932520,-0.294591
0.879000,1.933567,-0.292362
0.880000,1.934606,-0.290125
0.881000,1.935639,-0.287880
0.882000,1.936663,-0.285627
0.883000,1.937681,-0.283366
0.884000,1.938691,-0.281098
0.885000,1.939694,-0.278822
0.886000,1.940690,-0.276538
0.887000,1.941678,-0.274248
0.888000,1.942658,-0.271950
0.889000,1.943631,-0.269645
0.890000,1.944597,-0.267333
0.891000,1.945555,-0.265014
0.892000,1.946505,-0.262688
0.893000,1.947448,-0.260356
0.894000,1.948384,-0.258017
0.895000,1.949312,-0.255672
0.896000,1.950232,-0.253320
0.897000,1.951144,-0.250962
